h;p;t
0,68;992,9139709;30,614867
0,68;992,9139709;31,617287
0,68;992,9139709;32,619622
0,71;993,3830261;33,62193
0,73;994,3995667;34,622762
0,76;995,8135986;35,625319
0,78;997,6294708;36,6276
0,80;999,933548;37,629921
0,83;1002,611465;38,632277
0,84;1004,93927;39,634665
0,85;1007,000961;40,637208
0,86;1009,036255;41,639599
0,88;1011,03302;42,642047
0,89;1012,202606;43,643063
0,88;1013,422699;44,64522
0,92;1015,098419;45,647648
0,94;1016,853333;46,649918
0,96;1018,361206;47,652229
0,97;1020,125122;48,65474
0,99;1021,986237;49,657196
1,00;1023,685074;50,659377
1,02;1025,279007;51,661898
1,03;1026,875839;52,662844
1,04;1028,324127;53,665258
1,07;1029,757614;54,667759
1,08;1031,167526;55,669943
1,10;1032,393494;56,672319
1,11;1033,93013;57,674919
1,13;1035,821762;58,677416
1,16;1037,667923;59,680017
1,18;1039,820633;60,682131
1,21;1042,210007;61,683326
1,24;1044,754333;62,685785
1,26;1047,153702;63,688123
1,29;1049,751282;64,690457
1,31;1052,249908;65,692653
1,35;1055,100937;66,695066
1,38;1057,897034;67,697441
1,40;1060,655594;68,699812
1,44;1063,47084;69,702111
1,46;1066,227951;70,703264
1,48;1068,646088;71,705431
1,54;1071,107407;72,707999
1,54;1073,637543;73,710341
1,57;1076,182404;74,71315
1,60;1078,879547;75,714995
1,63;1081,604385;76,717433
1,66;1084,412613;77,71976
1,68;1087,371063;78,721933
1,72;1090,369568;79,722957
1,75;1093,259201;80,725207
1,77;1096,004562;81,727503
1,79;1098,61084;82,729742
1,82;1101,085052;83,731857
1,85;1103,52829;84,734261
1,87;1105,960617;85,736664
1,89;1108,421555;86,739032
1,92;1110,923386;87,741289
1,94;1113,374252;88,742504
1,96;1115,834198;89,744224
1,99;1118,410645;90,746583
2,01;1121,162109;91,748864
2,06;1124,028854;92,751375
2,08;1126,885376;93,753782
2,11;1129,65889;94,756157
2,13;1132,464523;95,758228
2,16;1135,282135;96,76055
2,20;1138,230438;97,762285
2,24;1141,344986;98,763802
2,27;1144,608231;99,766047
2,30;1147,871399;100,768396
2,35;1151,279907;101,770767
2,39;1154,589996;102,773128
2,41;1158,053055;103,775429
2,45;1161,53595;104,778162
2,48;1165,205383;105,78038
2,53;1168,870087;106,782174
2,57;1172,594452;107,783576
2,60;1176,20491;108,786035
2,64;1179,743042;109,788496
2,67;1183,148117;110,790884
2,70;1186,573563;111,793098
2,73;1189,939117;112,79552
2,77;1193,355179;113,797887
2,81;1196,850891;114,800249
2,84;1200,32692;115,802409
2,86;1203,695374;116,804103
2,90;1207,10762;117,806312
2,94;1210,511856;118,808579
2,97;1213,939285;119,811459
3,01;1217,401657;120,813488
3,05;1220,975037;121,815621
3,09;1224,538269;122,817982
3,12;1228,019257;123,820364
3,16;1231,542435;124,82216
3,19;1235,053635;125,823907
3,23;1238,483582;126,826235
3,27;1241,947327;127,828691
3,29;1245,486374;128,830981
3,34;1249,079132;129,83338
3,39;1252,75528;130,835648
3,42;1256,579895;131,837902
3,48;1260,686264;132,840625
3,53;1265,013962;133,84218
3,57;1269,591675;134,843438
3,62;1274,089355;135,845734
3,65;1278,42041;136,848391
3,69;1282,503815;137,850625
3,73;1286,573792;138,852985
3,79;1290,630646;139,855401
3,83;1294,644775;140,857855
3,87;1298,681641;141,860283
3,89;1302,629547;142,862241
3,92;1306,448822;143,863329
3,95;1309,985352;144,865516
4,00;1313,486176;145,868224
4,04;1316,955566;146,870558
4,07;1320,558929;147,872755
4,11;1324,070587;148,875118
4,14;1327,55127;149,877857
4,19;1330,940857;150,879613
4,21;1334,324646;151,882185
4,24;1337,700043;152,883532
4,28;1341,148529;153,886008
4,31;1344,681854;154,888331
4,36;1348,167725;155,890697
