h,p
0.68 , 992.9139709
0.71 , 993.3830261
0.73 , 994.3995667
0.76 , 995.8135986
0.78 , 997.6294708
0.80 , 999.933548
0.83 , 1002.611465
0.84 , 1004.93927
0.85 , 1007.000961
0.86 , 1009.036255
0.88 , 1011.03302
0.89 , 1012.202606
0.88 , 1013.422699
0.92 , 1015.098419
0.94 , 1016.853333
0.96 , 1018.361206
0.97 , 1020.125122
0.99 , 1021.986237
1.00 , 1023.685074
1.02 , 1025.279007
1.03 , 1026.875839
1.04 , 1028.324127
1.07 , 1029.757614
1.08 , 1031.167526
1.10 , 1032.393494
1.11 , 1033.93013
1.13 , 1035.821762
1.16 , 1037.667923
1.18 , 1039.820633
1.21 , 1042.210007
1.24 , 1044.754333
1.26 , 1047.153702
1.29 , 1049.751282
1.31 , 1052.249908
1.35 , 1055.100937
1.38 , 1057.897034
1.40 , 1060.655594
1.44 , 1063.47084
1.46 , 1066.227951
1.48 , 1068.646088
1.54 , 1071.107407
1.54 , 1073.637543
1.57 , 1076.182404
1.60 , 1078.879547
1.63 , 1081.604385
1.66 , 1084.412613
1.68 , 1087.371063
1.72 , 1090.369568
1.75 , 1093.259201
1.77 , 1096.004562
1.79 , 1098.61084
1.82 , 1101.085052
1.85 , 1103.52829
1.87 , 1105.960617
1.89 , 1108.421555
1.92 , 1110.923386
1.94 , 1113.374252
1.96 , 1115.834198
1.99 , 1118.410645
2.01 , 1121.162109
2.06 , 1124.028854
2.08 , 1126.885376
2.11 , 1129.65889
2.13 , 1132.464523
2.16 , 1135.282135
2.20 , 1138.230438
2.24 , 1141.344986
2.27 , 1144.608231
2.30 , 1147.871399
2.35 , 1151.279907
2.39 , 1154.589996
2.41 , 1158.053055
2.45 , 1161.53595
2.48 , 1165.205383
2.53 , 1168.870087
2.57 , 1172.594452
2.60 , 1176.20491
2.64 , 1179.743042
2.67 , 1183.148117
2.70 , 1186.573563
2.73 , 1189.939117
2.77 , 1193.355179
2.81 , 1196.850891
2.84 , 1200.32692
2.86 , 1203.695374
2.90 , 1207.10762
2.94 , 1210.511856
2.97 , 1213.939285
3.01 , 1217.401657
3.05 , 1220.975037
3.09 , 1224.538269
3.12 , 1228.019257
3.16 , 1231.542435
3.19 , 1235.053635
3.23 , 1238.483582
3.27 , 1241.947327
3.29 , 1245.486374
3.34 , 1249.079132
3.39 , 1252.75528
3.42 , 1256.579895
3.48 , 1260.686264
3.53 , 1265.013962
3.57 , 1269.591675
3.62 , 1274.089355
3.65 , 1278.42041
3.69 , 1282.503815
3.73 , 1286.573792
3.79 , 1290.630646
3.83 , 1294.644775
3.87 , 1298.681641
3.89 , 1302.629547
3.92 , 1306.448822
3.95 , 1309.985352
4.00 , 1313.486176
4.04 , 1316.955566
4.07 , 1320.558929
4.11 , 1324.070587
4.14 , 1327.55127
4.19 , 1330.940857
4.21 , 1334.324646
4.24 , 1337.700043
4.28 , 1341.148529
4.31 , 1344.681854
4.36 , 1348.167725
4.40 , 1351.777344
4.44 , 1355.373993
4.48 , 1358.865509
4.51 , 1362.151794
4.54 , 1365.645294
4.58 , 1369.088135
4.61 , 1372.442169
4.64 , 1375.772247
4.67 , 1379.005127
4.70 , 1382.142639
4.73 , 1385.086212
4.76 , 1388.041687
4.81 , 1391.124115
4.85 , 1394.50119
4.88 , 1397.893677
4.91 , 1401.423492
4.96 , 1405.056763
5.00 , 1408.557739
5.03 , 1411.81015
5.06 , 1415.130463
5.10 , 1418.322449
5.12 , 1421.170197
5.14 , 1423.843994
5.16 , 1426.413727
5.19 , 1428.874359
5.21 , 1431.268768
5.24 , 1433.794556
5.26 , 1436.34964
5.28 , 1438.946991
