t,p
0,977.819519
1.002455,977.8060913
2.004664,977.8002167
3.006894,977.7927399
4.009138,977.7852631
5.011527,977.7852631
5.559573,977.8127289
6.56171,978.0161285
7.564059,979.2347717
8.566437,981.6728973
9.568721,984.3214417
10.571138,987.202301
11.573381,989.9415588
12.5762,991.7950439
13.578113,992.3272705
14.579956,992.5978088
15.581551,992.5978088
16.584011,992.5969696
17.586233,992.5969696
18.588542,992.6004791
19.590636,992.6048279
20.59289,993.6829376
21.59509,997.4447632
22.597508,1004.234238
23.599037,1013.606644
24.600647,1023.275375
25.603009,1032.225037
26.60552,1038.35701
27.608018,1041.653519
28.610373,1042.153931
29.61256,1042.172775
30.615093,1042.174149
31.617626,1042.174149
32.619214,1042.162781
33.621239,1042.152252
34.623741,1042.140961
35.626085,1042.130661
36.628627,1042.119751
37.630984,1042.117615
38.633431,1042.117615
39.635797,1042.118454
40.638244,1042.121658
41.639432,1042.123413
42.641439,1042.125244
43.64359,1042.12822
44.645953,1042.130814
45.648287,1042.131195
46.651221,1042.133942
47.653218,1042.137222
48.65561,1042.138824
49.658145,1042.138824
50.659338,1042.138824
51.661041,1042.138672
52.663338,1042.138977
53.665746,1042.140045
54.668014,1042.141037
55.670474,1042.141571
56.672912,1042.142792
57.675156,1042.142792
58.677766,1042.142792
59.679313,1042.141647
60.681201,1042.141647
61.683411,1042.139206
62.685899,1042.137833
63.688576,1042.137299
64.690844,1042.135773
65.693152,1042.135773
66.695414,1042.13768
67.697933,1042.139969
68.69932,1042.140656
69.700937,1042.141647
70.702976,1042.142639
71.705443,1042.148972
72.707807,1042.171249
73.710477,1042.187729
74.712731,1042.202225
75.715452,1042.2155
76.71792,1042.2155
77.71926,1042.214661
78.721174,1042.210922
79.723485,1042.207794
80.726129,1042.207108
81.728519,1042.200546
82.730818,1042.195053
83.733346,1042.195053
84.735716,1042.224197
85.738209,1042.937775
86.739458,1045.118179
87.741465,1050.50499
88.743747,1059.147034
89.745804,1068.592072
90.748381,1077.497177
91.750692,1085.073776
